边 : 字 0.0515842404875 | 亲 0.055637030726 | 景 0.0575127583749 | 藏 0.0644112399972 | 边 0.0670720854676 | 判 0.0725851002573 | 苏 0.0743319970543 | 类 0.083212326147 | 树 0.0836415024504 | 绍 0.0860969135025 | 责 0.0913204381213 | 房 0.0929445356894 | 止 0.0965946518374 | 号 0.0966205213141 | 河 0.0972956113869 | 客 0.100862778948 | 写 0.10341207245 | 富 0.104807801633 | 菜 0.1126050172 | 约 0.11773830607 | 油 0.119073481935 | 售 0.122507067308 | 谈 0.123112576746 | 星 0.123387996256 | 索 0.124932057801 | 票 0.130813333366 | 则 0.133311601222 | 密 0.136725437529 | 试 0.141150033163 | 图 0.142049105932 | 血 0.144696162959 | 洋 0.145617971408 | 幕 0.14614137784 | 湾 0.148654214363 | 师 0.149547177237 | 语 0.150047057961 | 型 0.152005289201 | 障 0.152070008605 | 税 0.156380433255 | 城 0.156533978373 | 土 0.156636304059 | 疗 0.158873260606 | 留 0.163524342151 | 功 0.165767977113 | 彩 0.167497898439 | 迹 0.169977057864 | 身 0.176833111934 | 卖 0.178050357426 | 空 0.178501559541 | 获 0.180164097807 | 

援 : 杰 0.0550232958495 | 付 0.0568056782803 | 庄 0.0610147834412 | 叫 0.0678985004779 | 征 0.0762424451749 | 裁 0.0764811460486 | 短 0.0767720435464 | 拥 0.0803194529148 | 朋 0.0808887261757 | 伤 0.083768314011 | 累 0.089531257087 | 宽 0.09040794215 | 软 0.0921128862369 | 穿 0.0932590898663 | 援 0.0961277774363 | 戏 0.0985405159331 | 补 0.0989364453291 | 坐 0.101100585531 | 灵 0.105563977327 | 硬 0.111290692952 | 找 0.112855662694 | 勤 0.113068929968 | 季 0.113939905271 | 宝 0.114235051401 | 脱 0.119714165717 | 佳 0.12066020232 | 借 0.123662887076 | 储 0.126763498035 | 涉 0.129007473488 | 邮 0.130121203184 | 杂 0.131910509346 | 灯 0.132681342231 | 跟 0.135464845914 | 摆 0.136241550486 | 塑 0.141375938325 | 债 0.14142655488 | 疾 0.141944141052 | 赴 0.142892447524 | 患 0.142907380811 | 缩 0.144114362339 | 桥 0.14515585661 | 课 0.146538797844 | 渐 0.147596535894 | 翻 0.149902855417 | 亮 0.150495342371 | 汽 0.152535218719 | 扣 0.153188810883 | 迷 0.153693723945 | 奔 0.153912422083 | 微 0.154216498787 | 

麾 : 赓 0.101032339734 | 珲 0.101063898162 | 谑 0.101073170451 | 镂 0.101144514156 | 窿 0.101209964646 | 圻 0.101328161042 | 耆 0.101468573718 | 犟 0.101492928979 | 畿 0.1015399724 | 芥 0.101568270005 | 桅 0.101677187232 | 砾 0.101788147865 | 隽 0.101792862779 | 悯 0.101802663431 | → 0.101878184977 | 銮 0.101935050754 | 烬 0.101943482632 | 邕 0.102056655849 | 酗 0.102124816114 | 拗 0.102168686815 | 猕 0.102175477394 | 酉 0.102292576457 | 菩 0.102364210038 | 噜 0.102499991593 | 琨 0.10251432149 | 脓 0.102523137151 | 啬 0.102536639696 | 耒 0.102543546182 | 岷 0.102626223034 | 楣 0.102644415195 | 獭 0.102742841297 | 骧 0.102804706868 | 浜 0.102982591802 | 龛 0.103004336767 | 妩 0.10303542711 | 戕 0.103057688668 | 彷 0.103086119243 | 盹 0.103123583112 | 诋 0.10328852662 | 疡 0.103346721162 | 觞 0.103386755105 | 硼 0.103714499501 | 糅 0.103766616167 | 婵 0.103821267066 | 柩 0.103851444948 | 麒 0.103883118766 | 搪 0.103894203428 | 稣 0.103945814569 | 褶 0.103961881234 | 濯 0.104101304071 | 

墉 : 妩 0.0660187885061 | 疡 0.0661104925326 | 隽 0.0662449384151 | 芥 0.0663148204499 | 婵 0.0663245452419 | 拗 0.0663664728196 | 诋 0.0664343788413 | 銮 0.0664503450023 | 骧 0.0665356653707 | 耒 0.0665458845858 | 濯 0.0665627467691 | 茔 0.0666114948581 | 汴 0.0666157760286 | 戕 0.066694050387 | 啬 0.0668127058798 | 妓 0.0668639483842 | 畿 0.0669797491292 | → 0.0670825684986 | 硼 0.0670989523876 | 搐 0.0671017042648 | 饯 0.0671082742208 | 镂 0.0671836116527 | 辊 0.0672018965529 | 龛 0.0672317886462 | 俐 0.0672366741952 | 菩 0.0672545230505 | 麒 0.0673446178741 | 珲 0.0673611969165 | 瘸 0.0673625937366 | 旖 0.0673645534823 | 邕 0.0673700785358 | 骝 0.0674064306436 | ━ 0.0674915849028 | 闾 0.0675491363127 | 酚 0.0675986350157 | 唏 0.0676073439528 | 矾 0.0676109164589 | 摈 0.0676229918601 | 谑 0.0676442799605 | 盹 0.0676920206704 | 桉 0.0677120300296 | 桅 0.0677345273214 | 赓 0.0678130114695 | 獭 0.0679844784115 | 窿 0.0680090444937 | 胱 0.0680266057116 | 耆 0.0681229749979 | 酗 0.0681876390059 | 咣 0.068311014692 | 仟 0.0683323533656 | 

罐 : 罐 0.0766873182305 | 擦 0.0824216798301 | 勋 0.0834091304185 | 抄 0.0862413748396 | 磁 0.0865230993316 | 仗 0.0867899855375 | 鹤 0.0868459581944 | 忌 0.0884511719649 | 菌 0.0884877208268 | 椅 0.0888292463924 | 垒 0.0900572778378 | 茫 0.0907089532197 | 坑 0.0909006066253 | 醉 0.0912400884241 | 逊 0.0912446580114 | 睹 0.0913563524842 | 幻 0.0913803773447 | 缆 0.0915873781376 | 衔 0.092406121875 | 翰 0.093234631495 | 滔 0.0934860112231 | 卜 0.0946639135448 | 恋 0.0948425748984 | 垂 0.0955309948784 | 嫁 0.0960844500458 | 雾 0.0976173859588 | 蜂 0.0979124167339 | 芝 0.0980714575714 | 饿 0.0985323997118 | 淹 0.0986539103761 | 烦 0.0987409285165 | 谦 0.0991117443036 | 柔 0.0997749050284 | 纱 0.100137248165 | 募 0.100261543555 | 凶 0.100363383978 | 沪 0.100996378437 | 砍 0.101275048523 | 肝 0.10132879667 | 冈 0.101734464175 | 翠 0.103199741689 | 薪 0.104419819266 | 浸 0.105984053588 | 颂 0.106032427328 | 酿 0.106089749792 | 斥 0.106112565688 | 淤 0.106163443446 | 愤 0.106774335369 | 冶 0.106939784821 | 亭 0.106950209353 | 

氚 : 甭 0.095898359521 | 莒 0.0962167430473 | 椭 0.0962222000812 | 蔺 0.096337073848 | 俳 0.0965715604451 | 钎 0.096625878909 | 豌 0.0966758534463 | 蹭 0.0967238500898 | 匣 0.0969926986755 | 蔫 0.097036037317 | 靛 0.097118278619 | 琬 0.0971714260818 | 轶 0.097201763045 | 戛 0.0972247661227 | 霆 0.0972519107443 | 怏 0.0973044173691 | 珞 0.0974115427474 | 愫 0.0974311523842 | 淅 0.0975930862852 | 珩 0.0978974596455 | 孽 0.0980803685308 | 赅 0.0981286144312 | 漱 0.098131185048 | 坨 0.0982650058042 | 诧 0.0983136002617 | 臼 0.09833074012 | 卤 0.0983492685479 | 圪 0.0983527184485 | 稣 0.0983753336836 | 芷 0.0984698663076 | 蜻 0.0985409860684 | 淇 0.0985415824253 | 辫 0.0985502602705 | 嘶 0.098614204499 | 笪 0.0986520054769 | 啄 0.0986914910313 | 癣 0.0987006009396 | 撷 0.0987125176809 | 钒 0.0987965550142 | 叽 0.0989115554394 | 岫 0.0989165251491 | 铂 0.0989838559591 | 燧 0.0989972422923 | 赳 0.0990128243276 | 耙 0.0990430651599 | 峁 0.0991007230744 | 砭 0.099146088906 | 搪 0.0992877499797 | 翡 0.0993279285288 | 荤 0.0993472927131 | 

遒 : 瑕 0.118662152341 | 眩 0.118755037297 | 吭 0.118850628614 | 遒 0.118902867345 | 惭 0.119100708169 | 芋 0.119361013716 | 橘 0.119507855165 | 芸 0.119624338426 | 掂 0.119786899558 | 捺 0.119831082215 | 篝 0.119984602809 | 邬 0.120047912222 | 羌 0.120551704112 | 亘 0.120667903861 | 钛 0.121159096269 | 屎 0.121226961617 | 偎 0.121294779996 | 镍 0.121328401567 | 淆 0.121754593196 | 臧 0.121840592899 | 蝗 0.121941844023 | 痫 0.121966349992 | 藩 0.122264436839 | 赝 0.122481343928 | 撩 0.122626113592 | 鲥 0.122701503592 | 掖 0.122758521026 | 娣 0.122987161114 | 嗅 0.123052924816 | 耄 0.123072676645 | 梵 0.123464724641 | 丐 0.123740482826 | 蛀 0.123826682538 | 陨 0.124009952904 | 藜 0.124090881427 | 剽 0.12418542755 | 疹 0.124336467511 | 厮 0.124421238575 | 逍 0.12442169413 | 潼 0.125202389066 | 笙 0.125314660924 | 啪 0.125474030048 | 熹 0.125909138172 | 葩 0.125949186256 | 簧 0.126012665722 | 茸 0.126029133183 | 喋 0.126102212428 | 楞 0.126995707232 | 怅 0.127020187517 | 孀 0.127369897832 | 

遗 : 奔 0.0097749995082 | 混 0.0122332524823 | 摆 0.0126405704197 | 浓 0.0126442218882 | 零 0.0132877905195 | 软 0.0146368001633 | 俱 0.0148557137808 | 跟 0.0150277261753 | 诸 0.0158946420563 | 微 0.0164154809709 | 墨 0.0169481078572 | 寄 0.0170399948804 | 圣 0.0183545634106 | 畜 0.0185655859195 | 坐 0.0197115232894 | 贝 0.0197486826928 | 扣 0.0204661615402 | 凭 0.0207553467805 | 汤 0.020771608076 | 邮 0.0208752852637 | 揭 0.0217606357508 | 哲 0.0224254254382 | 曼 0.023357358838 | 穿 0.0234162371685 | 冬 0.0236619943741 | 薄 0.0243234105323 | 硬 0.0243312844745 | 戏 0.0257001974386 | 净 0.0261513006035 | 驾 0.0263988650308 | 塑 0.0265278118132 | 茶 0.0267436390296 | 雕 0.0267486446981 | 宽 0.0267686375673 | 勤 0.0286243706327 | 横 0.0290737889196 | 姐 0.0298611785714 | 淡 0.0313581773917 | 乃 0.032039696212 | 迈 0.0322564091815 | 柏 0.034212442024 | 恢 0.0343432427145 | 翻 0.0344779523073 | 邀 0.0379941519154 | 仿 0.0383022688484 | 详 0.0389382098138 | 覆 0.0392138043754 | 朋 0.0398484804931 | 幸 0.0399685786494 | 菲 0.0399927209175 | 

磅 : 潇 0.0179761410676 | 愚 0.0185591117367 | 绚 0.0191472973937 | 噪 0.0197485139451 | 绥 0.0197832321478 | 牟 0.0199236202798 | 盏 0.0201007467454 | 厌 0.0204455548754 | 栖 0.0208731212332 | 鲍 0.0210113795306 | 羞 0.0211211874916 | 耸 0.0212070705913 | 俯 0.0212603872753 | 颤 0.0213134129681 | 抖 0.0213387514654 | 慷 0.0214051771384 | 毯 0.0215537996032 | 熏 0.0216664423169 | 肾 0.0218192591264 | 碟 0.022023366129 | 跻 0.022061583683 | 鸦 0.0223462401157 | 瞄 0.0224369066654 | 溶 0.0225158877556 | 熬 0.0228822093712 | 骆 0.0230351261579 | 哗 0.0230447301463 | 铝 0.0230700507536 | 嗓 0.0230760565038 | 奸 0.0230806764329 | 祈 0.023231966313 | 吓 0.0233083251157 | 吵 0.0234151516409 | 瞒 0.0234260199341 | 侃 0.0234896240544 | 懒 0.0235217005253 | 瑟 0.0235930686007 | 仑 0.0237207943761 | 凿 0.0237889703235 | 氨 0.0238281502607 | 朔 0.0238715915232 | 焉 0.0238806385255 | 赃 0.0240608310382 | 扯 0.0241994610143 | 斡 0.0242424684981 | 峙 0.0244788592191 | 婉 0.0248200204443 | 敷 0.0249385413401 | 侠 0.0251100320743 | 冤 0.0258209691428 | 

穿 : 奔 0.0238903160171 | 穿 0.025183428559 | 戏 0.03070745303 | 浓 0.031569490795 | 塑 0.0319588658319 | 坐 0.0330749449673 | 茶 0.0337441024769 | 贝 0.0354158734638 | 跟 0.0358023859231 | 软 0.0376890735184 | 摆 0.0380986212314 | 诸 0.0406766598759 | 朋 0.0410945524551 | 宽 0.0418846045574 | 混 0.0422578123327 | 硬 0.0430694324999 | 扣 0.0431745371628 | 汤 0.043474469186 | 圣 0.0458269928973 | 墨 0.0465343235999 | 净 0.0467915114071 | 俱 0.0475247367803 | 庄 0.047867696654 | 畜 0.0478678848378 | 勤 0.0503939791874 | 寄 0.0509912114769 | 零 0.0511824973808 | 皮 0.0522557445183 | 冬 0.0531945713448 | 微 0.0532598932292 | 凭 0.0548316476064 | 迷 0.0556834482854 | 杰 0.0563871571287 | 灵 0.0577730209292 | 姐 0.0587065394581 | 淡 0.0599019258965 | 哲 0.0600796800335 | 妈 0.0623739110922 | 迈 0.0630029453455 | 雕 0.0636524787982 | 默 0.063965101738 | 揭 0.0674833327899 | 邮 0.0690854780081 | 弹 0.0713305889276 | 赴 0.0727389970602 | 贴 0.0732426379421 | 幸 0.0741980575314 | 耶 0.0743313367905 | 曼 0.0754027844666 | 闲 0.0769983543022 | 

朋 : 诸 0.0163921545758 | 零 0.016764715677 | 凭 0.0183656788801 | 跟 0.0190414060332 | 软 0.0201930150523 | 扣 0.0205925281872 | 汤 0.0205960498936 | 混 0.0209594415789 | 哲 0.0212336616368 | 墨 0.0213574369299 | 寄 0.0218851674103 | 净 0.0221370521188 | 浓 0.0224003615013 | 畜 0.0226254342189 | 冬 0.0226896847942 | 邮 0.0233609262448 | 奔 0.02604409023 | 俱 0.0278771135096 | 摆 0.0296798608631 | 赴 0.0305160841955 | 揭 0.0305930962384 | 迈 0.0306872477223 | 坐 0.030992773007 | 闲 0.0320177019379 | 贝 0.0327657997128 | 宽 0.0341117622111 | 雕 0.0341354269417 | 穿 0.034761354271 | 塑 0.0348897135221 | 宪 0.0349395307616 | 圣 0.0352510811791 | 懂 0.0366359759886 | 柏 0.037625455916 | 曼 0.0380337503849 | 淡 0.0383003579845 | 忧 0.0385382085988 | 轨 0.0386870031919 | 薄 0.039002022632 | 横 0.0390876994069 | 详 0.0403467435414 | 姐 0.0407183087033 | 返 0.0412661280869 | 冒 0.0422259022904 | 抱 0.0428336307465 | 暂 0.0428578029317 | 硬 0.0448041677278 | 微 0.0457405276209 | 迷 0.0464843906851 | 巧 0.0490660110275 | 妥 0.0492385279941 | 

嵘 : 菏 0.0876438158794 | 惋 0.0876691202234 | 桢 0.0884414541084 | 崽 0.0885995258779 | 篓 0.0887877125134 | 芮 0.0888456869944 | 笃 0.0888659016286 | 珑 0.088979453674 | 毡 0.0890403620583 | 粽 0.0890981347447 | 唁 0.0891829880245 | 嘘 0.0892181204083 | 狸 0.0892237855647 | 嗜 0.0892998867003 | 拄 0.0893893539603 | 虏 0.0893946158411 | 抠 0.0894917974013 | 赊 0.0896608353902 | 钵 0.0898248148466 | 蜕 0.0901795484013 | 镛 0.0905385743082 | 郴 0.0911505759263 | 秭 0.0914901571198 | 雌 0.0919022686667 | 漉 0.0919846100552 | 瀛 0.0919975955481 | 伶 0.0920362118318 | 汀 0.0922573656152 | 泗 0.0923280656591 | 迩 0.0925206655349 | 汩 0.0925498713037 | 祀 0.0927415878179 | 铱 0.0928136627071 | 蚌 0.0929357183149 | 萋 0.0930868807111 | 琉 0.093603046939 | 咆 0.0937430928124 | 钰 0.0940108414573 | 涿 0.0943046255497 | 亵 0.0944574087337 | 燮 0.0947180738558 | 蚂 0.0949572134961 | 胺 0.0957994947013 | 蔼 0.0959573348522 | 兀 0.0959943780175 | 搂 0.09628689133 | 趴 0.0967809841482 | 粱 0.0973414912339 | 绮 0.0973613627781 | 垢 0.0974508814286 | 

揪 : 匀 0.0504480816901 | 殃 0.0505324546831 | 酶 0.0505783451337 | 摹 0.0506185318533 | 弧 0.0506979498684 | 酥 0.0507783360195 | 檀 0.0510065922277 | 炫 0.0512614085934 | 榴 0.0513652924294 | 侗 0.0514922077906 | 墒 0.0515436318595 | 鹭 0.0515575354804 | 舅 0.0519711918122 | 喃 0.0520523413215 | 泾 0.0521010456073 | 屁 0.0522947863314 | 拎 0.0523251671527 | 衅 0.0526230145218 | 莺 0.0526471566481 | 姬 0.0527398743645 | 挟 0.0531611788444 | 毙 0.0531905854107 | 囿 0.0533246683128 | 窦 0.0533346541668 | 拴 0.0533975557097 | 茧 0.0537912755241 | 殉 0.0538270523848 | 侣 0.0540087434729 | 褥 0.0540626790472 | 驴 0.0541759138609 | 擎 0.054527776914 | 锲 0.0545681880017 | 禺 0.0545791279556 | 镌 0.0547159741542 | 恬 0.0547511872319 | 猿 0.0549701008287 | 榕 0.0549865273225 | 郅 0.0550178936199 | 侍 0.0551641734624 | 哮 0.0561256489937 | 赡 0.0561600130308 | 梓 0.0562065806513 | 桓 0.0563071111778 | 泸 0.0564307096779 | 啼 0.0570112041231 | 瞪 0.0570276768252 | 虔 0.0570978365713 | 阂 0.0579658533551 | 廓 0.0579739871641 | 哉 0.0583139164889 | 

挟 : 猿 0.0976449963032 | 虔 0.0977373121899 | 屁 0.0978127698794 | 茧 0.098402042611 | 榕 0.0985906523236 | 拴 0.0986529876963 | 泸 0.0987517986438 | 祁 0.0988974316167 | 匡 0.0997327842032 | 炫 0.0998082496865 | 殃 0.0998360590786 | 岔 0.100352273881 | 仕 0.100368132023 | 酶 0.100516143936 | 祠 0.100520908964 | 皱 0.100525660581 | 庵 0.100685693954 | 殉 0.100686214387 | 锲 0.10081863293 | 喃 0.100919092091 | 拎 0.100924435618 | 蠢 0.100925099469 | 捎 0.101205832285 | 痰 0.101296964178 | 镌 0.101339288776 | 酥 0.101793614499 | 恬 0.102439409958 | 檀 0.102530036763 | 哉 0.102533592097 | 矫 0.102621487584 | 匀 0.102878771094 | 漩 0.102948937201 | 舅 0.102955830958 | 摹 0.102972364478 | 摒 0.103031328972 | 廓 0.103148815371 | 翘 0.103337995318 | 骋 0.103438970641 | 毙 0.103530869165 | 榴 0.103535285287 | 珀 0.103538964355 | 阂 0.103563174309 | 陲 0.103714451915 | 弧 0.103777651559 | 擎 0.103889737582 | 酵 0.104135153702 | 侣 0.104248674916 | 侗 0.104491888765 | 弓 0.104551301944 | 诠 0.10487913146 | 

隽 : 捺 0.111073464129 | 瑕 0.111182346499 | 钛 0.111557985876 | 篝 0.111577298071 | 羌 0.111694728951 | 吭 0.111700726621 | 橘 0.111822319265 | 掂 0.111842434936 | 偎 0.111897790564 | 遒 0.112007302077 | 亘 0.112019122959 | 嗅 0.112160037097 | 镍 0.11243842666 | 芋 0.112511849572 | 掖 0.112655901476 | 眩 0.113052805382 | 惭 0.113885836349 | 娣 0.113981765039 | 疹 0.114246347858 | 簧 0.114278189849 | 剽 0.114336338334 | 潼 0.11440917525 | 笙 0.114641470682 | 丐 0.114649078055 | 芸 0.114851457467 | 淆 0.114965377193 | 赝 0.114988536977 | 邬 0.115113957257 | 熹 0.115127014502 | 耄 0.115218554067 | 痫 0.115268243741 | 葩 0.115269804193 | 濮 0.115295979055 | 楞 0.115568401055 | 裘 0.115765967081 | 黝 0.115868972419 | 蝗 0.11600584299 | 阙 0.116055061835 | 啪 0.116184502015 | 藜 0.116714937843 | 撩 0.116785491781 | 孀 0.117164363497 | 羹 0.117223671955 | 屎 0.117248181924 | 鲥 0.117369725198 | 铧 0.117394195474 | 糯 0.117474489649 | 臧 0.117581403811 | 藩 0.118031554558 | 鳖 0.118338966336 | 

桩 : 鹤 0.0258160169432 | 抄 0.0261509669595 | 擦 0.0283227793428 | 愤 0.029127298761 | 饥 0.0301932050959 | 沪 0.0310643678873 | 蜂 0.0312382745826 | 芝 0.0315266788622 | 谦 0.0315399506741 | 肝 0.0323810183025 | 饿 0.0330768832226 | 忌 0.0331741066433 | 抒 0.03416241749 | 愁 0.0342711239204 | 辐 0.0346686292337 | 砸 0.0379247933393 | 滔 0.0388034291468 | 椅 0.0395875209153 | 罐 0.039915114324 | 肤 0.0414184295311 | 恋 0.0415024218241 | 柯 0.0419293644355 | 巾 0.0419514343129 | 雾 0.0422240224029 | 虾 0.0428148344894 | 凶 0.0429799931873 | 坑 0.043056578683 | 拾 0.0431745942114 | 冶 0.0434113891403 | 缉 0.0440451523025 | 瞻 0.0446986270291 | 喀 0.0448831957647 | 茫 0.0449586565831 | 猫 0.0455575719938 | 吞 0.045667718616 | 臂 0.0458216719382 | 荆 0.0465243329477 | 啥 0.046680654474 | 纱 0.046809375215 | 翠 0.0469339606759 | 磁 0.0471828585987 | 肆 0.0474632668516 | 竣 0.0475038213103 | 衔 0.0475208680016 | 醉 0.0477783452494 | 藤 0.0481712029129 | 赈 0.0482897791534 | 斥 0.048622458982 | 薪 0.0489180031011 | 淤 0.0489694103476 | 

阂 : 垢 0.0995956232035 | 婷 0.100018816371 | 兀 0.100080926936 | 搂 0.100384694346 | 袄 0.10054343204 | 禧 0.100771061337 | 泗 0.10144566156 | 蛀 0.101637737417 | 喋 0.102074830511 | 屎 0.10217369809 | 燮 0.102321400776 | 臧 0.102357136726 | 钰 0.102779959589 | 逍 0.102865465506 | 裳 0.103165589091 | 陨 0.103307558219 | 镛 0.10377193961 | 怦 0.103779909126 | 厮 0.103798554344 | 漉 0.103992006368 | 奚 0.104044723682 | 亵 0.104487137002 | 茸 0.104655999367 | 蜕 0.10523341595 | 惭 0.105387616443 | 芮 0.105536221229 | 鲥 0.105599220193 | 梵 0.105649135592 | 淆 0.106020430747 | 笃 0.106456398597 | 怅 0.106677514372 | 钵 0.106897123183 | 桢 0.10714824601 | 惋 0.107251291233 | 芸 0.107342953239 | 蝗 0.107671301113 | 邬 0.107689227607 | 雌 0.107711963327 | 蹴 0.107726708125 | 赝 0.107734958564 | 郴 0.107817163088 | 铿 0.108420256612 | 珑 0.108462365656 | 崽 0.108859149835 | 琶 0.10889938807 | 菏 0.108938809786 | 涿 0.109206369114 | 铱 0.109563239546 | 遒 0.110054520777 | 狸 0.110137692653 | 

蜕 : 趴 0.0688038116736 | 嗜 0.0691596176114 | 蔼 0.0691803732531 | 伶 0.0693090179558 | 诙 0.0699130386214 | 蚌 0.0699551588539 | 琉 0.0703365248379 | 粱 0.0706564909362 | 瀛 0.0711439349384 | 媲 0.0713018840716 | 膛 0.0714445782213 | 篓 0.0716910872587 | 殚 0.0718177466889 | 赡 0.0719036718771 | 瞪 0.0721169600454 | 毡 0.0725065136584 | 汩 0.0729244930084 | 岌 0.0729792159715 | 汀 0.0730945970938 | 胺 0.0737590204703 | 袤 0.0742674737553 | 馁 0.0744328437488 | 啼 0.0745361780662 | 粽 0.074771716789 | 唁 0.075331928111 | 抠 0.0756962025215 | 祀 0.0764457246047 | 醋 0.0767006789642 | 绮 0.0768692883679 | 虏 0.0769242193916 | 拄 0.0769243115276 | 窦 0.0769566937618 | 赊 0.0771199768854 | 姬 0.0782402174242 | 菏 0.0783911904305 | 嘘 0.0786677041361 | 挟 0.0787191612487 | 囡 0.0789449912241 | 驴 0.0789463548881 | 炙 0.0790072543945 | 惋 0.0794200681921 | 帧 0.079530893846 | 驹 0.0799430023921 | 秭 0.0801908708667 | 鹭 0.0804329919562 | 萋 0.0804454871104 | 崽 0.0808819151284 | 狸 0.0811300052487 | 墒 0.0813154055724 | 泾 0.0815386632841 | 

鹳 : 诒 0.0330285890774 | 铳 0.0330804071973 | 蚤 0.0331428829976 | 虱 0.0331485907224 | 抿 0.033301008573 | 旮 0.0333594522365 | 谪 0.0334318934602 | 霈 0.0334393132253 | 蝠 0.0334417221893 | 屐 0.0334446920738 | 暌 0.0334521651712 | 缛 0.0334554717446 | 龉 0.033462456501 | 龊 0.0334927597283 | 枥 0.0335366787357 | 敕 0.0335591226657 | 骰 0.0335754052561 | 洵 0.0336077136518 | 塍 0.033620397591 | 昀 0.0336990855389 | 焖 0.0337080803817 | 罘 0.0337255988928 | 镳 0.0337292621054 | 蚱 0.0337816493754 | 碚 0.0337852228697 | 腱 0.0337872748497 | 颌 0.0337887389023 | 蟥 0.0337990350909 | 樨 0.0338028773193 | 恽 0.0338132060286 | 璎 0.0338327810861 | 蜃 0.0338346869422 | 耷 0.0338438274658 | 舢 0.0338488553765 | 仝 0.0338753720317 | 嗲 0.0338914595798 | 蘖 0.0339403916628 | 鳝 0.0339678021773 | 饽 0.0339807598385 | 衩 0.0339899621093 | 墉 0.034009284002 | 讣 0.0340333406586 | 砷 0.0340439217149 | 蹩 0.0340535921803 | 鹳 0.0340553559229 | 酊 0.0340710488076 | 臬 0.0340747114659 | 饬 0.034106168126 | 鏊 0.0341244091667 | 蹇 0.0341290006753 | 

擎 : 镛 0.0978697803223 | 搂 0.0981121721269 | 泗 0.0983112014946 | 兀 0.0985357959909 | 漉 0.0985531103377 | 燮 0.098851754913 | 蜕 0.0989647053423 | 垢 0.0990397762841 | 钰 0.0991160504997 | 惋 0.0993563884821 | 袄 0.0993936723867 | 桢 0.0994542495058 | 芮 0.099991297234 | 菏 0.100074534529 | 郴 0.100147630264 | 笃 0.100154198601 | 雌 0.100218549952 | 崽 0.100223801514 | 婷 0.100263953142 | 禧 0.100474819188 | 钵 0.100624860805 | 珑 0.100692440046 | 怦 0.100962441527 | 裳 0.101086949122 | 亵 0.101170552901 | 狸 0.102368667223 | 涿 0.102616367743 | 铱 0.102881170608 | 蛀 0.102947491343 | 嘘 0.103361045757 | 逍 0.103421002915 | 赊 0.103858697421 | 抠 0.103880448994 | 拄 0.103906115327 | 喋 0.103966553856 | 唁 0.104300214154 | 秭 0.104351089862 | 奚 0.104368426587 | 粽 0.104599560392 | 臧 0.104877876912 | 厮 0.105065880471 | 屎 0.105271232698 | 迩 0.105362701233 | 窒 0.105780371524 | 铿 0.105998716365 | 虏 0.106336569069 | 毡 0.10638668622 | 陨 0.106471489314 | 梵 0.10687618715 | 蚂 0.107174388931 | 

切 : 谈 0.0456085504028 | 约 0.0487292952233 | 类 0.0515689902343 | 试 0.0705669634783 | 城 0.0798418231042 | 号 0.0812081868011 | 客 0.0923042502775 | 连 0.0978449660902 | 写 0.100160521419 | 密 0.100287776674 | 获 0.107114097257 | 半 0.116827106466 | 土 0.117290903032 | 房 0.118964190224 | 功 0.122992139431 | 兴 0.124154623973 | 足 0.125512862593 | 图 0.132954599422 | 曾 0.133944372214 | 八 0.139391787784 | 税 0.141733558908 | 福 0.145613975491 | 卫 0.154156293126 | 伟 0.156248772036 | 留 0.158288130572 | 举 0.166973452715 | 带 0.167990584257 | 铁 0.169530076519 | 语 0.169652595884 | 责 0.171836983816 | 均 0.173296657264 | 找 0.177332496207 | 征 0.177381263898 | 货 0.177411961763 | 空 0.177871965269 | 演 0.178824802423 | 你 0.179317293935 | 采 0.181969111046 | 型 0.184367349942 | 销 0.185425900822 | 亲 0.185462361378 | 购 0.186073303304 | 独 0.191010020193 | 卖 0.197937453893 | 票 0.19828239072 | 边 0.200817974361 | 抓 0.209739750119 | 脱 0.20985548108 | 树 0.209884791406 | 某 0.210727612162 | 

抄 : 樱 0.022999468643 | 虾 0.0234918414043 | 鬼 0.0237096557736 | 拾 0.0249889981089 | 叠 0.0254028698538 | 瑰 0.0255649271277 | 兽 0.0258858654763 | 砸 0.0268324131864 | 歪 0.0270203996453 | 刹 0.027243837105 | 狼 0.027514400468 | 藤 0.0279283366681 | 萎 0.0281441921283 | 勉 0.0281722179161 | 桔 0.0295365914026 | 猫 0.0298951034718 | 巍 0.0302967731527 | 恨 0.0303217642947 | 杠 0.0306143752265 | 饿 0.0306968070708 | 邵 0.0310077847624 | 粪 0.0319936177561 | 绑 0.0333231566493 | 鞍 0.033354010527 | 晃 0.0335614129498 | 赈 0.0335898811881 | 荫 0.0336570098627 | 鹅 0.0340640081346 | 雀 0.0347269641286 | 桩 0.0348298583778 | 躺 0.0351078672294 | 夷 0.0352826513067 | 涅 0.0352832332133 | 淤 0.0354567967432 | 缠 0.0356441734332 | 咬 0.0356596390992 | 咸 0.0357973629418 | 肌 0.0359555047587 | 潭 0.0360458580658 | 扇 0.0360523145559 | 翠 0.0361010845046 | 蜂 0.0362415475003 | 抒 0.0364333562273 | 呵 0.0370784417944 | 啥 0.0373738661644 | 铅 0.0377043518286 | 臭 0.0377279838187 | 灶 0.0377591497278 | 渣 0.0377820435043 | 蜜 0.0378713032954 | 

